,Cluster,cluster,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
1,Up in XX,Up in XX,GO:0016055,Wnt signaling pathway,135/3774,460/28891,1.75092853531597e-20,8.55501816159101e-17,4.23505319922122e-17,2210016L21Rik/Amer1/Amer2/Amotl1/Apcdd1/Apoe/Axin1/Axin2/Bicc1/Bmp2/Brd7/Btrc/Caprin2/Cav1/Ccnd1/Ccne1/Ccnyl1/Cd44/Cdk14/Cela1/Cpe/Cpz/Csnk1g2/Csnk2a1/Csnk2a2/Ctdnep1/Cthrc1/Ctnnbip1/Ctr9/Cyld/D1Pas1/Dact1/Disc1/Dixdc1/Dkk3/Dvl1/Dvl3/Ednra/Ednrb/Egfr/Ext1/Fermt1/Fermt2/Fgfr2/Fgfr3/Frat1/Fuz/Fzd2/Fzd4/Gata3/Gid8/Gli3/Gnaq/Gpc3/Grk5/Gsk3b/Gskip/Hbp1/Hnf1a/Ift20/Ift80/Isl1/Lats1/Lef1/Leo1/Lgr4/Lgr5/Lrp4/Lrrfip2/Lypd6/Mapk14/Mark1/Mbd2/Mcc/Mdfic/Mdk/Mllt3/Myoc/Ndrg2/Nfkb1/Nkd1/Nlk/Notum/Nxn/Otud5/Pbxip1/Peg12/Pfdn5/Pin1/Pkd2/Pten/Ptpro/Rab5a/Rac3/Rbms3/Reck/Rps12/Rspo1/Rspo3/Rtf1/Ryk/Sdc1/Senp2/Sfrp1/Sfrp2/Shisa6/Siah1a/Siah2/Snai2/Snx3/Stk3/Sulf1/Sulf2/Tbl1xr1/Tcf7l1/Tcf7l2/Tgfb1i1/Tle1/Tle3/Tmem170b/Tmem237/Tnks2/Trabd2b/Tsku/Ubr5/Usp8/Vgll4/Wnt10a/Wnt11/Wnt2b/Wnt4/Wnt5b/Wnt9a/Wwox/Zranb1,135
2,Up in XX,Up in XX,GO:0198738,cell-cell signaling by wnt,135/3774,462/28891,2.66885607911122e-20,8.55501816159101e-17,4.23505319922122e-17,2210016L21Rik/Amer1/Amer2/Amotl1/Apcdd1/Apoe/Axin1/Axin2/Bicc1/Bmp2/Brd7/Btrc/Caprin2/Cav1/Ccnd1/Ccne1/Ccnyl1/Cd44/Cdk14/Cela1/Cpe/Cpz/Csnk1g2/Csnk2a1/Csnk2a2/Ctdnep1/Cthrc1/Ctnnbip1/Ctr9/Cyld/D1Pas1/Dact1/Disc1/Dixdc1/Dkk3/Dvl1/Dvl3/Ednra/Ednrb/Egfr/Ext1/Fermt1/Fermt2/Fgfr2/Fgfr3/Frat1/Fuz/Fzd2/Fzd4/Gata3/Gid8/Gli3/Gnaq/Gpc3/Grk5/Gsk3b/Gskip/Hbp1/Hnf1a/Ift20/Ift80/Isl1/Lats1/Lef1/Leo1/Lgr4/Lgr5/Lrp4/Lrrfip2/Lypd6/Mapk14/Mark1/Mbd2/Mcc/Mdfic/Mdk/Mllt3/Myoc/Ndrg2/Nfkb1/Nkd1/Nlk/Notum/Nxn/Otud5/Pbxip1/Peg12/Pfdn5/Pin1/Pkd2/Pten/Ptpro/Rab5a/Rac3/Rbms3/Reck/Rps12/Rspo1/Rspo3/Rtf1/Ryk/Sdc1/Senp2/Sfrp1/Sfrp2/Shisa6/Siah1a/Siah2/Snai2/Snx3/Stk3/Sulf1/Sulf2/Tbl1xr1/Tcf7l1/Tcf7l2/Tgfb1i1/Tle1/Tle3/Tmem170b/Tmem237/Tnks2/Trabd2b/Tsku/Ubr5/Usp8/Vgll4/Wnt10a/Wnt11/Wnt2b/Wnt4/Wnt5b/Wnt9a/Wwox/Zranb1,135
3,Up in XX,Up in XX,GO:0042692,muscle cell differentiation,134/3774,468/28891,2.56140090838102e-19,5.47371374121024e-16,2.70969253991887e-16,Acadm/Actn3/Adm/Agtr2/Akt1/Alpk3/Ankrd17/Ankrd23/Arrb2/Asb2/Asf1a/Atg5/Atp11a/Bcl2/Bhlhe41/Bmp2/Bmp4/Bmpr1a/Bmpr2/Cacnb4/Capn2/Capn3/Casp1/Cav2/Cd53/Cfh/Cflar/Chuk/Csf1r/Cth/Dll1/Dmpk/Dock2/Dpf3/Ednra/Ednrb/Efnb2/Ehd2/Eng/Ereg/Fgfr2/Fhod3/Flnc/Flot1/Flt3l/Foxp1/Gata6/Gper1/Gsk3b/Hacd1/Hand2/Hdac9/Hes1/Hey1/Ift20/Igf1/Igf2/Igfbp5/Irx3/Isl1/Itga8/Kcnj8/Kdm1a/Kdm6b/Kel/Kit/Klf5/Kras/Krt19/Lama2/Lamc1/Lox/Lrrc27/Mamstr/Map2k4/Mapk14/Meis1/Met/Mmp14/Msx1/Myh11/Myh6/Myh7/Myl9/Nfatc3/Nox4/Npnt/Nr3c1/Nrap/Nrg1/Ntn3/Pak1/Pbrm1/Pdcd4/Pdgfra/Pgm5/Pias1/Pin1/Pld3/Plekho1/Pmp22/Ppara/Ppp3ca/Prdm6/Prkd1/Ptgfrn/Ramp2/Rarb/Rbm24/Rgs2/Rxra/Sgcb/Sirt1/Sirt6/Slc25a4/Smad1/Smad4/Smarcd3/Sod2/Sorbs2/Speg/Syne1/Tbx2/Tbx3/Tmem119/Tmod4/Tmsb4x/Tnnt1/Tshz3/Vegfa/Wnt4/Yy1/Zeb1/Znhit1,134
4,Up in XX,Up in XX,GO:1901342,regulation of vasculature development,101/3774,311/28891,4.9999408323258e-19,8.01365516901018e-16,3.96705831827955e-16,Adam10/Adgrb2/Adm/Ago1/Agtr1a/Akt3/Amot/Angpt2/Angptl7/Aqp1/Atf2/Btg1/C3ar1/C5ar1/Ccbe1/Ccl2/Ccm2/Cd34/Cd59a/Ceacam1/Cela1/Cma1/Creb3l1/Cx3cr1/Cybb/Cyp1b1/Cysltr1/Dcn/Dll1/Ecscr/Efna1/Efna3/Egln1/Emp2/Eng/Ets1/Fkbpl/Gata6/Glul/Hgf/Hoxa5/Hspb6/Hyal1/Igf2/Isl1/Itga5/Kdr/Mdk/Nf1/Nfe2l2/Ngfr/Nos3/Nras/Nrp1/Pdcd10/Pdcl3/Pde3b/Pgf/Pik3cg/Plxnd1/Pparg/Prkcb/Prkd1/Ptgis/Ptn/Ramp2/Rapgef3/Reck/Rhoj/Rnh1/Rock1/Rock2/Rras/Rtn4/Runx1/S100a1/Sema3e/Sema6a/Sfrp2/Sirt1/Sirt6/Slc12a2/Smad1/Spry2/Stab1/Stard13/Stat1/Stat3/Sulf1/Synj2bp/Tcf4/Tek/Tgfb2/Thbs2/Tjp1/Tspan12/Tspan18/Vash2/Vegfa/Vegfb/Wnt4,101
5,Up in XX,Up in XX,GO:0030099,myeloid cell differentiation,135/3774,480/28891,1.01356483384444e-18,1.29959282995534e-15,6.43346941903367e-16,Adam8/Adgrf5/Alas1/Ankrd54/Arid4a/Bcl6/Bmp2/Bmp4/Bmyc/Bpgm/Brd1/C1qc/Car2/Casp3/Ccl3/Ccr1/Cdkn1c/Ceacam1/Cebpe/Cflar/Chuk/Cib1/Clec5a/Csf1r/Csf3r/Ctnnbip1/Ctr9/Dlk1/Dll1/Dmtn/Ets1/F2rl1/Fas/Fbxw7/Fcer1g/Fech/Fgfr3/Foxp1/Gata1/Gata3/Gfi1b/Glo1/Gnas/Gpc3/Gpr55/Gsk3b/Hba-a1/Hba-x/Hcls1/Hoxa5/Hoxa7/Hoxa9/Hoxb7/Hscb/Ikzf1/Il15/Il23a/Il33/Il34/Inpp4b/Irf8/Isg15/Jak2/Kat8/Kcnq1/Kdm1a/Kit/Kitl/Klf1/Kmt2e/L3mbtl3/Lef1/Leo1/Lilrb4a/Lox/Lrrc17/Maf/Mapk14/Meis1/Meis2/Mfap2/Mfhas1/Myd88/Nckap1l/Ncoa6/Ncor1/Nf1/Nfix/Nkap/Nr3c1/Nrros/P4htm/Pip4k2a/Pithd1/Pou4f1/Pparg/Ppp3ca/Prdm16/Prdx3/Prtn3/Psen2/Ptpn2/Rabgap1l/Rassf2/Rbp1/Rcor1/Rhag/Rhd/Runx1/Sfrp1/Sfxn1/Sirt1/Slc25a38/Smap1/Spi1/Stat1/Stat3/Tal1/Tcta/Tet2/Tfrc/Tgfbr3/Thpo/Tifab/Tlr4/Tmem178/Tnfsf9/Trem2/Trim10/Tyrobp/Ufl1/Vegfa/Vps54/Zbtb16/Zfp36l1,135
7,Up in XX,Up in XX,GO:0003012,muscle system process,127/3774,446/28891,3.63215615141411e-18,3.32653615524512e-15,1.64675951827271e-15,Ace2/Actn3/Adcy10/Adk/Adra2b/Agtr2/Aif1/Akap9/Anxa6/Arhgap42/Asb2/Atp1b1/Becn1/Bmp2/Bmp4/Cacna1d/Cacnb1/Cacnb2/Calcrl/Cald1/Calm1/Calm2/Camk2g/Cav1/Cflar/Cyba/Dmpk/Dock4/Dsc2/Ece1/Edn2/Edn3/Ednra/Ednrb/Ehd3/Fkbp1b/Foxp1/Fxyd1/Gata5/Gata6/Gper1/Grcc10/Gsk3b/Gsn/Hand2/Hsbp1/Igf1/Igfbp5/Inpp5f/Jarid2/Kcna5/Kcnd2/Kcne4/Kcnip2/Kcnj8/Kcnma1/Kcnn2/Kcnq1/Kit/Lck/Lmcd1/Map2k4/Meis1/Met/Mybpc1/Myh11/Myh13/Myh6/Myh7/Myh8/Myl1/Myl4/Myl6/Myoc/Ncf1/Ndufs4/Nedd4l/Nfatc3/Nos3/Npnt/Nr3c1/Pak1/Pde4b/Pde4d/Pde5a/Pde9a/Pik3ca/Pin1/Ppara/Pparg/Ppp3ca/Prkd1/Psen2/Ptger3/Ptgs1/Rcsd1/Rem1/Rgs2/Rock1/Rock2/Ryr2/Scn2b/Sirt1/Slc25a4/Smad1/Smad4/Snta1/Sorbs2/Sri/Stc1/Sulf1/Sulf2/Sumo1/Tbx2/Tbx3/Tifab/Tmem38a/Tmem38b/Tmod4/Tnnt1/Tpm2/Tpm3/Tshz3/Twf1/Vegfb/Vps54/Yy1,127
9,Up in XX,Up in XX,GO:1990778,protein localization to cell periphery,117/3774,400/28891,8.22517466288702e-18,5.85906608486319e-15,2.90045632849174e-15,Actb/Adam10/Adam22/Adcy6/Akt1/Ank3/Anxa2/Arhgap44/Arl3/Arl6ip5/Atp1b1/Bbip1/Cacnb2/Cacnb3/Cacng3/Camk2g/Cask/Cdk5/Cib1/Cln3/Clstn1/Csk/Csnk2a1/Dchs1/Dennd4c/Dpp10/Efr3b/Egfr/Ehd2/Ehd3/Emp2/Epha3/Ephb2/Fcer1g/Fcho2/Flot1/Fyb/Gga2/Gnai1/Golga4/Gper1/Gphn/Gpr179/Grip1/Gsk3b/Hras/Ift20/Ift80/Inpp5k/Itgb1bp1/Kalrn/Kcnb2/Kcnip3/Kcnip4/Kif13a/Kif1b/Krt18/Lgi1/Lin7c/Lypd1/Magi2/Mmp14/Mrap/Myo5a/Myo5b/Nptx2/Nrxn1/Nrxn3/Nsg1/Optn/Palm/Pdzd11/Pias1/Picalm/Pkdcc/Ppp2r5a/Prkg2/Psmd10/Rab11a/Rab11fip2/Rab12/Rab13/Rab26/Rab29/Rab34/Rab38/Rab40b/Rab7/Rab8a/Rab8b/Rabep1/Ramp1/Ramp2/Rap1a/Rhoq/Rock1/Rock2/Sacm1l/Scp2/Sirt6/Smurf1/Snca/Snx27/Sptbn1/Stxbp1/Sytl2/Tmem59/Trem2/Tspan18/Tspan33/Tspan5/Ttc7b/Vamp4/Vamp5/Vamp8/Vti1b/Wdr72,117
10,Up in XX,Up in XX,GO:0010959,regulation of metal ion transport,129/3774,461/28891,9.41745376813084e-18,6.03752961074868e-15,2.98880243272784e-15,Agtr1a/Ahnak/Akap7/Akap9/Akt1/Akt3/Ank3/Aqp2/Arrb2/Atg5/Atp1b1/Bcl2/Best1/Bmp4/Cacna1d/Cacnb1/Cacnb2/Cacnb3/Cacnb4/Calm1/Calm2/Capn3/Cask/Cav1/Ccr1/Cd63/Cd84/Cdk5/Cntn1/Coro1a/Cyba/Dmpk/Dpp10/Edn3/Ednra/Ehd3/Fgf11/Fkbp1b/Fmr1/Fxyd1/Fxyd2/Gck/Gjc2/Glrx/Gnai2/Gnao1/Gnaq/Gnas/Gper1/Grip1/Hbp1/Hes1/Hfe/Homer3/Hpca/Igf1/Il16/Inpp5k/Iscu/Isl1/Kcna5/Kcnab1/Kcne4/Kcnip1/Kcnip2/Kcnip3/Kcnip4/Kcnk3/Kcnn2/Kcnq1/Kcns1/Kel/Lhcgr/Mllt6/Mrln/Myo5a/Nedd4l/Nfatc3/Nkain1/Nkain4/Nos3/Oprd1/Oprk1/Oprl1/Osr1/P2ry12/Pacsin3/Pcsk9/Pde4b/Pde4d/Pik3cg/Pkd2/Plcb4/Ppp3ca/Prkd1/Prss8/Psen2/Pten/Ptger3/Rapgef3/Rem1/Rgs9/Rrad/Ryr2/S100a1/Scn2b/Sestd1/Slc31a2/Smim6/Snca/Snta1/Snx27/Sri/Stc1/Stim2/Stk39/Stoml1/Sumo1/Tgfb2/Tmc1/Tmem38a/Tmem38b/Trem2/Trpc6/Tspan13/Tspan18/Tspo/Ubr3/Vmp1,129
11,Up in XX,Up in XX,GO:0001666,response to hypoxia,81/3774,233/28891,1.7169623814911e-17,1.00067689343086e-14,4.95372400018725e-15,Acaa2/Acot2/Adam8/Ado/Ak4/Akt1/Aqp1/Atf2/Atp1b1/Bad/Bcl2/Bmp2/Bmyc/Bnip3l/Camk2g/Casp1/Cav1/Chrna4/Cpeb1/Cr1l/Cryab/Cybb/Dnmt3a/Ece1/Ednra/Egln1/Egln3/Eng/Epha4/Fam162a/Fndc1/Fundc1/Fzd4/Gata6/Gnb1/Higd1a/Hmox2/Il18/Itpr2/Kcnd2/Kcnj8/Kcnk2/Kcnk3/Kcnma1/Kdr/Nf1/Nfatc3/Nfe2l2/Npepps/Oprd1/Pak1/Pgf/Pin1/Plat/Plau/Pld2/Ppara/Pparg/Prmt2/Pten/Ptgis/Pygm/Rock2/Rtn4/Rwdd3/Ryr2/Sirt1/Sirt2/Smad4/Sod3/Stat3/Stox1/Tek/Tgfb2/Trem2/Twist1/Vegfa/Vegfb/Vldlr/Wtip/Zfp36l1,81
12,Up in XX,Up in XX,GO:0072001,renal system development,106/3774,352/28891,3.03677049259208e-17,1.62239463566732e-14,8.03145880277641e-15,Acvr2b/Agtr1a/Agtr2/Aldh1a2/Amer1/Angpt2/Anxa4/Aph1c/Aqp1/Aqp11/Aqp2/Arid5b/Arl3/Bcl2/Bicc1/Bmp2/Bmp4/Bmp7/C3ar1/Calb1/Cc2d2a/Cd44/Cdkn1c/Cfh/Cflar/Ctnnbip1/Ctns/Dchs1/Dll1/Ednra/Ednrb/Efnb2/Emx2/Enpep/Epha4/Epha7/Ext1/Fat4/Fgfr1/Fgfr2/Frem2/Gata3/Gdf11/Gli3/Gpc3/Hes1/Hey1/Hoxb7/Hs2st1/Hs3st3a1/Hs3st3b1/Ift20/Ift27/Irx3/Itga8/Kif3a/Lgr4/Lgr5/Lrp4/Mpv17/Myo1e/Nek1/Nf1/Nfia/Notch3/Npnt/Npr2/Nrp1/Osr1/Pax8/Pbx1/Pcsk9/Pdgfd/Pdgfra/Pgf/Pkd2/Plxnd1/Ppp3ca/Prom1/Ptpro/Rarb/Rdh10/Ret/Robo2/Sfrp1/Slit2/Smad1/Smad4/Stat1/Sulf1/Sulf2/Tek/Tet2/Tgfb2/Tgfbr1/Tiparp/Traf3ip1/Traf3ip2/Trex1/Tshz3/Vegfa/Wnt11/Wnt2b/Wnt4/Zbtb16/Zfp950,106
13,Up in XX,Up in XX,GO:0006091,generation of precursor metabolites and energy,132/3774,484/28891,3.91395655578481e-17,1.93018272916434e-14,9.55512470906171e-15,Acadm/Actn3/Adcy10/Adgrf5/Ak4/Akt1/Aldoc/Arl2/Bpgm/C1qtnf2/Cisd1/Coa6/Cox10/Cox5b/Cox7a1/Cox7a2l/Cox7b/Cox7c/Cyb5r4/Dguok/Dnajc15/Eno3/Enox2/Etfa/Etfb/Etfdh/Fdx1/Galk1/Galt/Gck/Gnas/Gnpda1/Gsk3b/H6pd/Hk3/Hmgcl/Hmgcll1/Hmgcs2/Idh1/Ifnar1/Igf1/Igf2/Immp2l/Inpp5k/Irs1/Iscu/Khk/Mtfr1l/Myo5a/Ncor1/Ndufa1/Ndufa11/Ndufa12/Ndufa13/Ndufa2/Ndufa3/Ndufa4/Ndufa6/Ndufa7/Ndufa8/Ndufa9/Ndufaf1/Ndufb10/Ndufb11/Ndufb3/Ndufb6/Ndufb8/Ndufb9/Ndufc1/Ndufs2/Ndufs3/Ndufs4/Ndufs7/Ndufs8/Ndufv2/Ndufv3/Nfatc3/Nupr1/Oas1a/Opn3/Pank2/Park7/Pdha1/Pfkl/Pfkm/Phlda2/Pik3ca/Pklr/Polg2/Pomc/Ppara/Ppp1ca/Ppp1cc/Ppp1r1a/Ppp1r3g/Prdm16/Prkaca/Prkag2/Ptges3/Pygl/Pygm/Rb1cc1/Rbks/Sdhaf4/Sdhb/Sirt3/Sirt6/Slc1a3/Slc25a12/Slc25a23/Slc37a2/Slc4a4/Snca/Sod2/Stat3/Stbd1/Sucla2/Tcf7l2/Tefm/Tkt/Tmem135/Tpi1/Trex1/Ugp2/Uqcc2/Uqcc3/Uqcr10/Uqcr11/Uqcrc1/Uqcrq/Vps54/Wdr93,132
14,Up in XX,Up in XX,GO:0006979,response to oxidative stress,113/3774,389/28891,5.23174451310828e-17,2.39576529096694e-14,1.18599321105425e-14,1600014C10Rik/Aif1/Aifm2/Akt1/Anxa1/Apoe/Aqp1/Arl6ip5/Atf2/Atox1/Atrn/Bcl2/Bmp4/Btk/Camk2g/Car3/Casp3/Casp6/Ccs/Cd36/Chrna4/Chuk/Crk/Cryab/Cryge/Cygb/Cyp1b1/Dapk1/Ednra/Egfr/Endog/Epx/Etfdh/Fer/Foxp1/Fut8/Gch1/Gclm/Glrx2/Gstp1/Hgf/Hk3/Hmox2/Hnf1a/Hyal1/Idh1/Jak2/Kdm6b/Kpna4/Lck/Lias/Map2k4/Mapk9/Mapkap1/Met/Mgat3/Mpv17/Mpv17l2/Msrb2/Msrb3/Ndufa12/Ndufa6/Ndufs2/Ndufs8/Nfe2l2/Nfkb1/Ngfr/Nme5/Nos3/Park7/Pdcd10/Pdgfra/Pdk2/Pex13/Pla2r1/Pld2/Ppp2cb/Prdx1/Prdx3/Prdx5/Prkcd/Prkd1/Prr5l/Ptgs1/Ptprk/Pycr1/Rbpms/Rcan2/Romo1/Sesn1/Sesn3/Sirt1/Sirt2/Slc25a14/Snca/Sod2/Sod3/Srxn1/Stk24/Stk26/Stox1/Stx2/Tat/Thg1l/Tlr4/Trex1/Trp53inp1/Trpc6/Txnip/Ucp1/Usp25/Xpa/Zfp277,113
19,Up in XX,Up in XX,GO:0090287,regulation of cellular response to growth factor stimulus,97/3774,323/28891,8.13583083510155e-16,2.74520060441242e-13,1.35897672951973e-13,Adamts12/Adamts3/Agtr2/Apln/Arid4a/Arid4b/Axin1/Bmp2/Bmp4/Brms1l/Cask/Cav1/Cav2/Ccbe1/Cd59a/Cd63/Cdkn1c/Cflar/Chrdl2/Chst11/Crb2/Creb3l1/Crebbp/Cyfip2/Dcn/Dll1/Eid2/Eng/Fbn2/Fermt1/Fgfbp3/Fgfr1/Fst/Fstl1/Fuz/Fzd4/Gata3/Gata6/Glg1/Gpc3/Gpr155/Hes1/Htra3/Ints9/Itga8/Kdr/Lats1/Lemd2/Lox/Ltbp1/Msx1/Msx2/Ngfr/Npnt/Nrp1/Nrros/Nrxn1/Ofd1/Peg10/Pin1/Ppara/Pparg/Prdm16/Prkcb/Rbbp7/Sap30/Sap30l/Sema6a/Sfrp1/Sfrp2/Sirt1/Slc2a10/Slc9a6/Slit2/Smad4/Smurf1/Smurf2/Snx6/Sox11/Spry2/Suds3/Sulf1/Sulf2/Tcf4/Tcf7l2/Tek/Tgfb1i1/Tgfbr3/Tmem108/Tmem53/Trim33/Usp15/Vegfa/Vegfb/Wnt4/Zeb1/Zfp423,97
