,Cluster,cluster,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
1,Up in XX,Up in XX,GO:0007015,actin filament organization,134/3317,471/28891,4.3247053063506e-24,2.72413187247024e-20,1.36979350176936e-20,Abi2/Actn1/Add2/Add3/Aif1/Ap1ar/Aqp2/Arap1/Arfgef1/Arhgap25/Arhgap28/Arhgap6/Arhgef5/Arpin/Asap3/Bbs4/Bcl2/Cald1/Cap2/Capg/Capn1/Catip/Ccdc88a/Ccl21b/Cdc42ep2/Cdc42ep3/Cdc42ep5/Cnn2/Coro1a/Coro1b/Coro7/Cotl1/Daam2/Dbn1/Dlc1/Dlg1/Dmtn/Dpysl3/Elmo3/Eln/Emp2/Evl/F11r/Fam171a1/Fer/Fhod1/Gas2/Gas2l1/Gba2/Gdpd2/Gmfg/Gpr65/Gsn/Hcls1/Hip1r/Id1/Inpp5k/Kank3/Kank4/Lcp1/Lima1/Limd2/Magel2/Marcks/Micall2/Mtss1/Myh10/Myo1a/Myo1b/Myo1e/Myo1f/Myo1g/Myo5a/Myo5b/Myoc/Nckap1l/Nox4/Nrap/Nrp1/Pak1/Pdxp/Pik3r1/Pik3r2/Plek/Plekhg2/Plekhh2/Pls3/Ppargc1b/Ppm1e/Prex1/Prkcd/Pycard/Rac2/Rac3/Rapgef3/Rasa1/Rgs4/Rhob/Rhobtb1/Rhobtb2/Rhoc/Rhoj/Rhou/Rnd1/Rock2/Samd14/Sh3bp1/Sh3d21/Sh3kbp1/Sh3pxd2b/Shroom1/Shroom3/Slit2/Smad3/Snx9/Sorbs1/Specc1l/Tlr2/Tmod4/Tmsb10/Tmsb15b1/Tmsb15l/Tmsb4x/Tpm2/Trpv4/Ttc8/Twf2/Vill/Was/Wasf1/Wasf3/Wdr1/Wnt11/Wnt4,134
2,Up in XX,Up in XX,GO:0030099,myeloid cell differentiation,135/3317,480/28891,9.47946771353086e-24,2.98555835637654e-20,1.50124833421128e-20,Actn1/Adam8/Adar/Adgrf5/Ankrd54/Arid4a/Batf3/Bcl6/Bmp2/Bmp4/Bmyc/C1qc/Car2/Casp3/Cbfa2t3/Ccl21b/Ccl3/Ccl9/Ccr1/Ccr7/Cdkn1c/Cebpb/Cebpe/Chuk/Clec5a/Csf1r/Csf3r/Ctnnbip1/Dmtn/Ets1/Fam20c/Fas/Fcer1g/Fes/Fgfr3/Foxp1/Fstl3/Gas2l1/Gata1/Gata3/Gfi1b/Glo1/Gnas/Gpc3/Gpr55/Hba-a1/Hba-a2/Hba-x/Hcls1/Heph/Hoxb7/Hscb/Ikzf1/Il15/Il23a/Il33/Il34/Inhba/Inpp4b/Irf8/Isg15/Jak2/Jun/Kcnq1/Kit/Klf10/Klf2/Ldb1/Lef1/Lilrb4a/Lmo2/Lrrc17/Lrrk1/Ltbr/Maf/Mafb/Mapk14/Meis1/Meis2/Mfap2/Mfhas1/Myd88/Nckap1l/Nkap/Nr3c1/Nrros/P4htm/Pafah1b1/Pias3/Pik3r1/Pip4k2a/Pithd1/Ppargc1b/Prkca/Prtn3/Psen2/Rab7b/Rabgap1l/Rarg/Rassf2/Rbp1/Rhd/Ripk1/Runx1/Sfrp1/Sfxn1/Slc1a5/Slc25a38/Slc4a1/Smap1/Sp3/Spi1/Stat1/Tal1/Tcf3/Tcirg1/Tescl/Tgfbr3/Thpo/Tifab/Tirap/Tlr2/Tlr4/Tmem178/Tnfsf9/Tob2/Trem2/Twist2/Tyrobp/Vegfa/Wdr1/Ypel4/Zbtb16/Zfp36l1/Zfp385a,135
3,Up in XX,Up in XX,GO:0032970,regulation of actin filament-based process,119/3317,402/28891,3.99013323705761e-23,8.36725967565285e-20,4.20736530678043e-20,Abi2/Acta2/Adcy10/Add2/Add3/Akap9/Ank2/Ap1ar/Arap1/Arfgef1/Arhgap28/Arhgap6/Arhgef19/Arhgef5/Arpin/Asap3/Bbs4/Bcas3/Capg/Capn1/Capn10/Cav1/Ccdc88a/Ccl21b/Ccl27a/Cdc42ep2/Cdc42ep3/Cdc42ep5/Cdk5r1/Cnn2/Coro1a/Coro1b/Cotl1/Csf1r/Daam2/Dbn1/Dixdc1/Dlc1/Dlg1/Dmtn/Dsc2/Efna5/Eln/Epha3/Evl/F11r/Fer/Fhod1/Frmd6/Fxyd1/Gba2/Gmfg/Gpr65/Gsn/Hcls1/Hdac2/Hip1r/Id1/Inpp5k/Kank3/Kank4/Lima1/Lrp1/Magel2/Mtss1/Myo1f/Myoc/Nckap1l/Nox4/Nrp1/Pak1/Pam/Pard3/Pdgfrb/Pdxp/Pik3r1/Pik3r2/Plek/Plekhg2/Plekhh2/Ppm1e/Prex1/Prkcd/Prkd1/Ptger3/Pycard/Rac3/Rangrf/Rapgef3/Rasa1/Rgs4/Rhoc/Rock2/Ryr2/Sh3bp1/Sh3pxd2b/Slit2/Smad3/Smim22/Snx9/Specc1l/Sri/Stc1/Tgfb2/Tlr2/Tmod4/Tmsb10/Tmsb15b1/Tmsb15l/Tmsb4x/Ttc8/Twf2/Vill/Was/Wasf1/Wasf3/Wdr1/Wnt11/Wnt4,119
7,Up in XX,Up in XX,GO:0050900,leukocyte migration,114/3317,398/28891,6.05870236388899e-21,5.45196659859096e-18,2.74144893427699e-18,Abr/Adam8/Add2/Adtrp/Aif1/Akt1/Anxa1/Arhgef5/C3ar1/C5ar1/Capn1/Ccl12/Ccl21b/Ccl3/Ccl4/Ccl6/Ccl9/Ccr1/Ccr7/Cd200r1/Cd300a/Ch25h/Chst2/Chst4/Cklf/Cmklr1/Cnn2/Coro1a/Csf1r/Csf3r/Cx3cr1/Cxcl13/Cxcl16/Cyp7b1/Dapk2/Dbh/Dock8/Dpep1/Edn2/Edn3/Ednra/Emilin1/Emp2/Epx/Ext1/F11r/Fcer1g/Fcgr3/Fer/Foxj1/Gas6/Gata3/Golph3/Gpsm3/Hsd3b7/Il16/Il1r1/Il23a/Il27ra/Il33/Il34/Itga1/Itga2b/Itga7/Itgb2/Kit/Lbp/Lgals9/Lyve1/Mcu/Mmp14/Mmp28/Myd88/Myo1f/Myo1g/Nbl1/Nckap1l/P2ry12/Pafah1b1/Pdgfd/Pgf/Pik3r1/Pla2g7/Podxl/Podxl2/Prex1/Prkca/Prtn3/Ptger3/Ptn/Ptprj/Ptpro/Pycard/Rac2/Rac3/Rarres2/Ripk3/Rtn4/Selplg/Slit2/Spi1/Tirap/Tlr2/Tmem102/Tnfrsf18/Trem2/Trpv4/Vav1/Vav3/Vcam1/Vegfa/Vegfb/Wdr1/Wnt5a,114
9,Up in XX,Up in XX,GO:0007264,small GTPase mediated signal transduction,119/3317,428/28891,1.21651159786386e-20,8.51422950549387e-18,4.28126713213142e-18,Abi2/Agtr1a/Aif1/Apoe/Arfgef1/Arhgap24/Arhgap25/Arhgap28/Arhgap30/Arhgap32/Arhgap42/Arhgap8/Arhgdib/Arl3/Arl6/Bcl6/Ccdc125/Ccdc88a/Cdc42bpa/Cdc42ep2/Cdc42ep3/Cdc42ep5/Cdon/Chn1/Chuk/Col1a2/Col3a1/Cyth3/Cyth4/Dab1/Dennd1a/Dennd4a/Dennd4c/Dgkz/Dlc1/Dock11/Dock2/Dock4/Dock8/Dock9/Dok2/Dok4/Ednra/Ephb2/Eps8l1/Eps8l2/F11r/Fgf10/Gabarap/Gm266/Gpr55/Gpr65/Heg1/Igf1/Itsn1/Ksr1/Lztr1/Mapkap1/Mapre2/Mcf2l/Myoc/Ngfr/Nradd/Nrp1/Nucb1/Nucb2/Ophn1/Pdgfrb/Pik3cg/Psd3/Rab30/Rab35/Rab39b/Rab4a/Rac2/Rac3/Ralbp1/Ralgds/Rangrf/Rap1a/Rapgef1/Rapgef3/Rapgef5/Rapgefl1/Rasa2/Rasa3/Rasa4/Rasgrp1/Rasgrp2/Rasgrp4/Rgl1/Rgl3/Rhob/Rhobtb1/Rhobtb2/Rhoc/Rhoj/Rhou/Rit1/Rnd1/Rock2/Rras2/Rsu1/Rtn4/Rufy1/Sh2d3c/Sh3bp1/Sipa1l3/Slit2/Srgap1/Stard8/Syde1/Tgfb2/Timp2/Usp8/Vav2/Vav3/Was/Wasf1,119
11,Up in XX,Up in XX,GO:0034329,cell junction assembly,128/3317,481/28891,2.57202486409805e-20,1.47283496535942e-17,7.40595484791488e-18,Abi2/Abi3bp/Actn1/Actn3/Add2/Adgrb2/Adgre5/Adgrl3/Amigo2/Arhgap6/Arvcf/Asic2/Bcl2/Cav1/Cdh10/Cdh11/Cdh17/Cdh18/Cdh24/Cdh6/Cdh9/Cdk5/Cgn/Cldn15/Cldn2/Clstn1/Clstn3/Cntn5/Cntnap1/Colq/Dkk1/Dlc1/Dlg1/Dlg4/Dlg5/Dmtn/Dusp22/Efna5/Efnb1/Efnb3/Enpp2/Epha3/Epha7/Ephb1/Ephb2/F11r/Fbxo45/Flrt2/Flrt3/Fn1/Fzd1/Gap43/Gpm6a/Hdac7/Hopx/Irx3/Itga5/Itgb4/Kdr/Lamc1/Ldb1/Lims1/Lrfn3/Lrfn5/Lrp1/Lrrc4/Lrrn1/Lrrn3/Lrrtm4/Lzts1/Magi2/Micall2/Mmp14/Mpdz/Mycbp2/Myoc/Nlgn2/Nphp4/Nrp1/Nrxn2/Nrxn3/Numb/Numbl/Ocln/Ophn1/Pard3/Pcdhb16/Peak1/Pik3r1/Plxnd1/Pmp22/Prkaca/Prkca/Ptpn13/Ptprj/Ptprk/Ptpro/Ptprs/Rab13/Rab17/Ramp2/Rap1a/Rapgef1/Rhoc/Rock2/Sdk2/Sh3bp1/Slit2/Slitrk1/Smad3/Snai2/Snca/Sorbs1/Srgap2/Srpx2/Syndig1/Thbs2/Tlr2/Tpbg/Trpv4/Ugt8a/Vegfa/Vstm5/Wdr1/Wnt11/Wnt4/Wnt5a/Zfp703,128
12,Up in XX,Up in XX,GO:0060562,epithelial tube morphogenesis,112/3317,395/28891,3.17678230229482e-20,1.66754597684626e-17,8.38503328737291e-18,Adamts12/Adm/Agtr1a/Aldh1a2/Arl13b/Bbs4/Bcl2/Bmp2/Bmp4/Bmp5/Btrc/Casp3/Cc2d2a/Ccdc103/Ccdc39/Ccdc40/Ccm2/Cd44/Cthrc1/Ctnnbip1/Ctns/Dchs1/Deaf1/Dlc1/Dlg1/Dlg5/Ednra/Eng/Epha4/Epha7/Esr1/Ext1/Fat4/Fgf10/Fgfr2/Fkbpl/Foxd1/Foxp1/Fuz/Fzd1/Fzd2/Gata3/Gli2/Gli3/Gpc3/Greb1l/Hand1/Hand2/Hes1/Hey1/Hhip/Hoxb7/Hs3st3a1/Hs3st3b1/Ift122/Ift57/Igf1/Ipmk/Irx3/Kdm2b/Kdr/Kif26b/Kif3a/Lama1/Lcn2/Lef1/Lgr4/Mgp/Mmp14/Msx2/Mtss1/Nfatc4/Nphp3/Npnt/Nr3c1/Nrp1/Osr1/Pak1/Pax8/Pbx1/Pdgfra/Pgf/Pik3cd/Plxnd1/Prkaca/Rarg/Rdh10/Ret/Rhob/Rock2/Ryr2/Sema3e/Sfrp1/Sfrp2/Shroom3/Slit2/Smad3/Smo/Specc1l/Stox1/Tbx2/Tbx20/Tbx3/Tcf21/Tgfb2/Tmem59l/Tnc/Tulp3/Vegfa/Wnt2b/Wnt4/Wnt5a,112
14,Up in XX,Up in XX,GO:0007411,axon guidance,82/3317,252/28891,4.09035549709994e-19,1.7176766184155e-16,8.63710855492892e-17,Ablim1/Alcam/Apbb1/Arhgef25/Arx/Bmpr1b/Boc/Cdk5/Cdk5r1/Chn1/Cntn1/Cntn5/Csf1r/Ece1/Edn3/Ednra/Efna1/Efna3/Efna4/Efna5/Efnb1/Efnb3/Emb/Epha3/Epha4/Epha7/Ephb1/Ephb2/Evl/Ext1/Flrt2/Flrt3/Foxd1/Foxp1/Gap43/Gas1/Gata3/Gfra3/Gli2/Gli3/Hoxa2/Kalrn/Kif5a/Klf7/Lama1/Lama2/Lgi1/Lgr4/Lrp1/Matn2/Mycbp2/Myh10/Ncam1/Neo1/Nexn/Nfib/Ngfr/Notch3/Nrcam/Nrp1/Ntn3/Plxna2/Plxna3/Plxna4/Plxnd1/Prtg/Ptpro/Rac3/Robo2/Sema3a/Sema3c/Sema3e/Sema3f/Sema4g/Slit2/Smo/Tgfb2/Ttc8/Unc5b/Unc5c/Vegfa/Wnt5a,82
15,Up in XX,Up in XX,GO:0097485,neuron projection guidance,82/3317,252/28891,4.09035549709994e-19,1.7176766184155e-16,8.63710855492892e-17,Ablim1/Alcam/Apbb1/Arhgef25/Arx/Bmpr1b/Boc/Cdk5/Cdk5r1/Chn1/Cntn1/Cntn5/Csf1r/Ece1/Edn3/Ednra/Efna1/Efna3/Efna4/Efna5/Efnb1/Efnb3/Emb/Epha3/Epha4/Epha7/Ephb1/Ephb2/Evl/Ext1/Flrt2/Flrt3/Foxd1/Foxp1/Gap43/Gas1/Gata3/Gfra3/Gli2/Gli3/Hoxa2/Kalrn/Kif5a/Klf7/Lama1/Lama2/Lgi1/Lgr4/Lrp1/Matn2/Mycbp2/Myh10/Ncam1/Neo1/Nexn/Nfib/Ngfr/Notch3/Nrcam/Nrp1/Ntn3/Plxna2/Plxna3/Plxna4/Plxnd1/Prtg/Ptpro/Rac3/Robo2/Sema3a/Sema3c/Sema3e/Sema3f/Sema4g/Slit2/Smo/Tgfb2/Ttc8/Unc5b/Unc5c/Vegfa/Wnt5a,82
16,Up in XX,Up in XX,GO:0006935,chemotaxis,121/3317,462/28891,1.11504209191496e-18,4.38978133560772e-16,2.20734319379745e-16,Ackr4/Adam8/Agtr1a/Aif1/Angpt2/Anxa1/Arhgef5/Arrb2/Bin2/C3ar1/C5ar1/Ccl12/Ccl21b/Ccl27a/Ccl3/Ccl4/Ccl6/Ccl9/Ccr1/Ccr7/Ccrl2/Ch25h/Cklf/Cmklr1/Cmtm2a/Cmtm3/Coro1a/Coro1b/Csf1r/Csf3r/Cx3cr1/Cxcl13/Cxcl16/Cyp7b1/Cysltr1/Dapk2/Defb7/Dock2/Dock4/Dpep1/Edn2/Edn3/Ednra/Eng/Enpp2/Ephb1/Fcer1g/Fcgr3/Fer/Fes/Fgf10/Fgfr1/Fn1/Gas6/Gpsm3/Hgf/Hsd3b7/Il16/Il23a/Il34/Itga1/Itgb2/Kdr/Kit/Lbp/Lef1/Lgals9/Lgr4/Lrp1/Lsp1/Mcu/Mmp28/Mycbp2/Nbl1/Nckap1l/Nrp1/P2ry12/Parva/Pdgfd/Pdgfra/Pdgfrb/Pgf/Pik3cd/Pik3cg/Pla2g7/Plgrkt/Plxna3/Plxna4/Prex1/Prkca/Prkcd/Prkd1/Ptn/Ptprj/Ptpro/Rab13/Rac2/Rac3/Rarres2/Robo2/Sema3a/Sema3c/Sema3e/Sema3f/Sema4g/Slit2/Smad3/Snai2/Spi1/Tirap/Tmem102/Tpbg/Trem2/Trpv4/Unc5c/Vav1/Vav3/Vcam1/Vegfa/Vegfb/Wnt5a,121
20,Up in XX,Up in XX,GO:0018212,peptidyl-tyrosine modification,95/3317,324/28891,1.98373120296795e-18,6.24776142374756e-16,3.14160378406872e-16,Abi2/Agtr1a/Angpt4/Arl2bp/Arrb2/Cav1/Cav2/Cck/Cd300a/Cd36/Cd44/Clcf1/Clec4n/Clec7a/Cntn1/Csf1r/Ctf1/Ddr2/Dlg3/Dlg4/Dmtn/Dusp22/Efna1/Efna5/Egfr/Enpp2/Epha3/Epha4/Epha7/Ephb2/Fer/Fes/Fgf10/Fgfr1/Fgfr2/Fgfr3/Gata1/Ghr/Gprc5a/Hcls1/Hdac2/Hes1/Hgf/Ifnar1/Igf1/Igf2/Il15/Il18/Il23a/Il34/Il6ra/Il6st/Inpp5f/Irf1/Itga5/Itgb2/Jak2/Kdr/Kit/Lck/Lilrb4a/Lrrk1/Neurl1a/Nox4/Nrp1/Pdgfc/Pdgfd/Pdgfra/Pdgfrb/Pkdcc/Plcg2/Prkca/Prkcd/Prlr/Psen2/Ptpn4/Ptprc/Ptprj/Rasa1/Ripk2/Samsn1/Sfrp1/Sfrp2/Tgfa/Tlr4/Tmem102/Tnfrsf18/Tnk2/Tpst1/Tpst2/Traf3ip1/Trem2/Vegfa/Vegfb/Vps25,95
