"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Diff.Acc."
"chr1:3212227-3213170|944",128.344193811619,-1.00044663440593,0.251731129098098,-3.97426666296827,7.05964335451666e-05,0.000596212662796269,"More in XY"
"chr1:3410679-3411323|645",39.6990699674216,-3.57997494431034,0.770500423185394,-4.64629847899376,3.3794394277696e-06,4.57655049577092e-05,"More in XY"
"chr1:3477067-3478050|984",132.402503266833,1.52336302147628,0.229615245295411,6.63441584428074,3.25790158186109e-11,2.20893792194789e-09,"More in XX"
"chr1:3606346-3607177|832",57.4272608282242,-3.24771797775355,0.488577631854838,-6.64729157866664,2.98535273462526e-11,2.05444739882512e-09,"More in XY"
"chr1:3670579-3672620|2042",388.253362144735,0.956474617482538,0.197078607545644,4.85326453943519,1.21445515484368e-06,1.90719957887666e-05,"More in XX"
"chr1:3956204-3956590|387",15.5912410730597,1.30853666636326,0.399290219267738,3.27715682283177,0.00104858111837632,0.00557960262886013,"More in XX"
"chr1:4044840-4045474|635",25.626466190477,1.62875071468333,0.321170328811018,5.07129883608181,3.95109769331743e-07,7.3171835842055e-06,"More in XX"
"chr1:4722286-4723373|1088",98.2449811777358,-1.90853714754785,0.384402945316608,-4.96493892880012,6.87226920187155e-07,1.1733641035076e-05,"More in XY"
"chr1:4785113-4786360|1248",160.345315871304,1.06186941849771,0.201668513601355,5.26541996831863,1.39869242386622e-07,3.00317972028856e-06,"More in XX"
"chr1:4802198-4802902|705",22.8602647402952,-1.74936065671818,0.456519083721027,-3.8319551560898,0.000127128915549462,0.000974719274413732,"More in XY"
"chr1:4857094-4858554|1461",620.340571800608,1.14540785132477,0.183409638636703,6.24507991967418,4.23583475987354e-10,2.01549388362582e-08,"More in XX"
"chr1:4874287-4874815|529",6.88794105629568,-2.66504192518262,0.853393575945464,-3.12287554101876,0.00179093463581155,0.00864870649557406,"More in XY"
"chr1:5018190-5020566|2377",146.250596984947,0.952683872980499,0.189672317482076,5.02278817292634,5.09267028107461e-07,9.0931450384707e-06,"More in XX"
"chr1:5082748-5083808|1061",139.809443011558,0.871443638459855,0.236482359285688,3.68502598287717,0.000228679310353461,0.00158734109043607,"More in XX"
"chr1:5587984-5589210|1227",90.6616650553219,0.841087792964951,0.216665002222807,3.88197348134712,0.000103612178540848,0.000821034868337459,"More in XX"
"chr1:5673374-5674466|1093",32.6750607163774,2.12182730869802,0.303257003718589,6.99679572995779,2.61882666941665e-12,2.50943530176047e-10,"More in XX"
"chr1:5751900-5752546|647",27.441252282311,1.28408319049292,0.363696567203728,3.53064424106492,0.000414548914879943,0.00259933854582683,"More in XX"
"chr1:5866198-5866964|767",18.3596837777853,1.44274512575185,0.349144900650785,4.13222453790007,3.59269199283939e-05,0.000337184197320532,"More in XX"
"chr1:6064572-6064858|287",6.52087376004474,-5.65807960814375,1.24673011273675,-4.53833556303816,5.66999840895767e-06,7.07977035641805e-05,"More in XY"
"chr1:6188152-6189219|1068",59.5172441794736,1.06181717917742,0.268568162892795,3.95362267716472,7.69767680476769e-05,0.000640963753519756,"More in XX"
"chr1:6287636-6288530|895",43.6740580535512,1.04546116829599,0.301308465216937,3.46973712651343,0.000520967973420121,0.00314009811203488,"More in XX"
"chr1:6447788-6448575|788",16.5072743022534,-3.22934357875838,0.503709417439843,-6.41112408652564,1.44450560724821e-10,8.02992421477019e-09,"More in XY"
"chr1:6558899-6559542|644",45.2043957730858,1.6453232333429,0.335023942047841,4.91106164916402,9.05846001623343e-07,1.4848875609298e-05,"More in XX"
"chr1:6594363-6595275|913",17.994834748021,-2.9910164935593,0.631335307335308,-4.73760370884936,2.16260190320899e-06,3.11264984284616e-05,"More in XY"
"chr1:6809268-6809716|449",12.3359195693773,-3.78348595886668,1.09888143342736,-3.44303383765996,0.000575227336221033,0.00340574477215235,"More in XY"
"chr1:6866193-6867528|1336",140.445484772842,-2.03822934786192,0.251231942028842,-8.11293871074695,4.94099962201039e-16,1.40908520456851e-13,"More in XY"
"chr1:6876936-6877320|385",23.9473162056476,1.42339389963406,0.457122365960882,3.11381373047029,0.00184686045089403,0.0088609752012051,"More in XX"
"chr1:6973549-6974154|606",9.21741858943772,-3.21088260168094,0.652825146378634,-4.91844197407594,8.72357681188743e-07,1.43971870434601e-05,"More in XY"
"chr1:7088233-7089916|1684",1115.70971905177,1.22854574188467,0.177943308781335,6.90414127003988,5.05080181056722e-12,4.38589077432934e-10,"More in XX"
"chr1:7119090-7120006|917",72.4659537775912,-1.10082243682965,0.280362840614619,-3.92642061414556,8.62193306864887e-05,0.000705274339598182,"More in XY"
"chr1:7380933-7382369|1437",26.3389849255341,-3.0939909976944,0.405087241174418,-7.63783867574894,2.20898393472635e-14,3.91392060531724e-12,"More in XY"
"chr1:7397383-7398854|1472",893.376703951966,1.14594235589619,0.213692695192433,5.36257149484802,8.20454779352118e-08,1.90606766896348e-06,"More in XX"
"chr1:7423032-7423489|458",15.1951799527192,1.1719943796962,0.365350970615581,3.20785894648509,0.00133727068123111,0.00680598317878626,"More in XX"
"chr1:7558001-7559073|1073",12.4824635563365,2.0183725870279,0.424489145416468,4.75482732319966,1.98616103882095e-06,2.89745456738518e-05,"More in XX"
